Date,Dividends,symbol
2017-05-11 00:00:00-04:00,0.06,INVH
2017-08-11 00:00:00-04:00,0.08,INVH
2017-10-23 00:00:00-04:00,0.08,INVH
2018-02-12 00:00:00-05:00,0.11,INVH
2018-05-14 00:00:00-04:00,0.11,INVH
2018-08-15 00:00:00-04:00,0.11,INVH
2018-11-13 00:00:00-05:00,0.11,INVH
2019-02-12 00:00:00-05:00,0.13,INVH
2019-05-14 00:00:00-04:00,0.13,INVH
2019-08-14 00:00:00-04:00,0.13,INVH
2019-11-12 00:00:00-05:00,0.13,INVH
2020-02-11 00:00:00-05:00,0.15,INVH
2020-05-12 00:00:00-04:00,0.15,INVH
2020-08-11 00:00:00-04:00,0.15,INVH
2020-11-09 00:00:00-05:00,0.15,INVH
2021-02-09 00:00:00-05:00,0.17,INVH
2021-05-10 00:00:00-04:00,0.17,INVH
2021-08-09 00:00:00-04:00,0.17,INVH
2021-11-08 00:00:00-05:00,0.17,INVH
2022-02-11 00:00:00-05:00,0.22,INVH
2022-05-09 00:00:00-04:00,0.22,INVH
2022-08-08 00:00:00-04:00,0.22,INVH
2022-11-07 00:00:00-05:00,0.22,INVH
2023-02-13 00:00:00-05:00,0.26,INVH
2023-05-09 00:00:00-04:00,0.26,INVH
2023-08-07 00:00:00-04:00,0.26,INVH
2023-11-06 00:00:00-05:00,0.26,INVH
2023-12-26 00:00:00-05:00,0.28,INVH
2024-03-27 00:00:00-04:00,0.28,INVH
2024-06-27 00:00:00-04:00,0.28,INVH
2024-09-26 00:00:00-04:00,0.28,INVH
2024-12-26 00:00:00-05:00,0.29,INVH
2025-03-27 00:00:00-04:00,0.29,INVH
2025-06-26 00:00:00-04:00,0.29,INVH
