Date,Dividends,symbol
1999-08-10 00:00:00-04:00,0.12,GS
1999-10-21 00:00:00-04:00,0.12,GS
2000-01-20 00:00:00-05:00,0.12,GS
2000-04-19 00:00:00-04:00,0.12,GS
2000-07-20 00:00:00-04:00,0.12,GS
2000-10-19 00:00:00-04:00,0.12,GS
2001-01-18 00:00:00-05:00,0.12,GS
2001-04-20 00:00:00-04:00,0.12,GS
2001-07-27 00:00:00-04:00,0.12,GS
2001-10-25 00:00:00-04:00,0.12,GS
2002-01-17 00:00:00-05:00,0.12,GS
2002-04-26 00:00:00-04:00,0.12,GS
2002-07-26 00:00:00-04:00,0.12,GS
2002-10-24 00:00:00-04:00,0.12,GS
2002-12-26 00:00:00-05:00,0.12,GS
2003-01-24 00:00:00-05:00,0.12,GS
2003-04-25 00:00:00-04:00,0.12,GS
2003-07-25 00:00:00-04:00,0.25,GS
2003-10-23 00:00:00-04:00,0.25,GS
2004-01-23 00:00:00-05:00,0.25,GS
2004-04-23 00:00:00-04:00,0.25,GS
2004-07-23 00:00:00-04:00,0.25,GS
2004-10-21 00:00:00-04:00,0.25,GS
2005-01-21 00:00:00-05:00,0.25,GS
2005-04-22 00:00:00-04:00,0.25,GS
2005-07-22 00:00:00-04:00,0.25,GS
2005-10-20 00:00:00-04:00,0.25,GS
2006-01-20 00:00:00-05:00,0.25,GS
2006-04-21 00:00:00-04:00,0.35,GS
2006-07-21 00:00:00-04:00,0.35,GS
2006-10-19 00:00:00-04:00,0.35,GS
2007-01-19 00:00:00-05:00,0.35,GS
2007-04-20 00:00:00-04:00,0.35,GS
2007-07-27 00:00:00-04:00,0.35,GS
2007-10-25 00:00:00-04:00,0.35,GS
2008-01-25 00:00:00-05:00,0.35,GS
2008-04-25 00:00:00-04:00,0.35,GS
2008-07-25 00:00:00-04:00,0.35,GS
2008-10-23 00:00:00-04:00,0.35,GS
2009-02-20 00:00:00-05:00,0.467,GS
2009-05-21 00:00:00-04:00,0.35,GS
2009-08-21 00:00:00-04:00,0.35,GS
2009-11-30 00:00:00-05:00,0.35,GS
2010-02-26 00:00:00-05:00,0.35,GS
2010-05-27 00:00:00-04:00,0.35,GS
2010-08-30 00:00:00-04:00,0.35,GS
2010-11-30 00:00:00-05:00,0.35,GS
2011-02-28 00:00:00-05:00,0.35,GS
2011-05-27 00:00:00-04:00,0.35,GS
2011-08-30 00:00:00-04:00,0.35,GS
2011-11-29 00:00:00-05:00,0.35,GS
2012-02-28 00:00:00-05:00,0.35,GS
2012-05-29 00:00:00-04:00,0.46,GS
2012-08-28 00:00:00-04:00,0.46,GS
2012-11-28 00:00:00-05:00,0.5,GS
2013-02-26 00:00:00-05:00,0.5,GS
2013-05-28 00:00:00-04:00,0.5,GS
2013-08-28 00:00:00-04:00,0.5,GS
2013-11-27 00:00:00-05:00,0.55,GS
2014-02-26 00:00:00-05:00,0.55,GS
2014-05-28 00:00:00-04:00,0.55,GS
2014-08-27 00:00:00-04:00,0.55,GS
2014-11-28 00:00:00-05:00,0.6,GS
2015-02-26 00:00:00-05:00,0.6,GS
2015-05-28 00:00:00-04:00,0.65,GS
2015-08-28 00:00:00-04:00,0.65,GS
2015-11-30 00:00:00-05:00,0.65,GS
2016-02-29 00:00:00-05:00,0.65,GS
2016-05-27 00:00:00-04:00,0.65,GS
2016-08-30 00:00:00-04:00,0.65,GS
2016-11-29 00:00:00-05:00,0.65,GS
2017-02-28 00:00:00-05:00,0.65,GS
2017-05-30 00:00:00-04:00,0.75,GS
2017-08-29 00:00:00-04:00,0.75,GS
2017-11-29 00:00:00-05:00,0.75,GS
2018-02-28 00:00:00-05:00,0.75,GS
2018-05-30 00:00:00-04:00,0.8,GS
2018-08-29 00:00:00-04:00,0.8,GS
2018-11-29 00:00:00-05:00,0.8,GS
2019-02-27 00:00:00-05:00,0.8,GS
2019-05-29 00:00:00-04:00,0.85,GS
2019-08-29 00:00:00-04:00,1.25,GS
2019-11-29 00:00:00-05:00,1.25,GS
2020-02-28 00:00:00-05:00,1.25,GS
2020-05-29 00:00:00-04:00,1.25,GS
2020-08-31 00:00:00-04:00,1.25,GS
2020-12-01 00:00:00-05:00,1.25,GS
2021-03-01 00:00:00-05:00,1.25,GS
2021-05-28 00:00:00-04:00,1.25,GS
2021-08-31 00:00:00-04:00,2.0,GS
2021-12-01 00:00:00-05:00,2.0,GS
2022-03-01 00:00:00-05:00,2.0,GS
2022-05-31 00:00:00-04:00,2.0,GS
2022-08-31 00:00:00-04:00,2.5,GS
2022-11-30 00:00:00-05:00,2.5,GS
2023-03-01 00:00:00-05:00,2.5,GS
2023-05-31 00:00:00-04:00,2.5,GS
2023-08-30 00:00:00-04:00,2.75,GS
2023-11-29 00:00:00-05:00,2.75,GS
2024-02-28 00:00:00-05:00,2.75,GS
2024-05-30 00:00:00-04:00,2.75,GS
2024-08-30 00:00:00-04:00,3.0,GS
2024-12-02 00:00:00-05:00,3.0,GS
2025-02-28 00:00:00-05:00,3.0,GS
2025-05-30 00:00:00-04:00,3.0,GS
